,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
62,903,0.24165387521058132,12,0.9368104098840346,0.8958543983822043,False
63,512,0.21074973726673055,3,0.9223637832778055,0.8791708796764408,True
64,512,0.21074973726673055,3,0.9723637832778056,0.8867542972699697,False
65,512,0.21074973726673055,4,0.9723637832778056,0.8913043478260869,False
66,512,0.21074973726673055,5,0.9723637832778056,0.8938321536905965,False
67,522,0.21074973726673055,5,0.9723637832778056,0.8923154701718908,False
68,512,0.21074973726673055,5,0.9723637832778056,0.8938321536905965,False
69,522,0.21074973726673055,5,0.9723637832778056,0.8923154701718908,False
70,512,0.21074973726673055,5,0.9723637832778056,0.8938321536905965,False
71,522,0.21074973726673055,5,0.9723637832778056,0.8923154701718908,False
72,512,0.21074973726673055,5,0.9723637832778056,0.8938321536905965,False
73,522,0.21074973726673055,5,0.9723637832778056,0.8923154701718908,False
74,512,0.21074973726673055,5,0.9723637832778056,0.8938321536905965,False
75,597,0.4012636986479801,7,0.3791909411910509,0.8437815975733064,True
76,597,0.4012636986479801,7,0.4291909411910509,0.8629929221435794,False
77,607,0.4012636986479801,7,0.4291909411910509,0.8640040444893832,False
78,617,0.4012636986479801,7,0.4291909411910509,0.8645096056622852,False
79,607,0.4012636986479801,7,0.4291909411910509,0.8640040444893832,False
80,617,0.4012636986479801,7,0.4291909411910509,0.8645096056622852,False
81,607,0.4012636986479801,7,0.4291909411910509,0.8640040444893832,False
82,617,0.4012636986479801,7,0.4291909411910509,0.8645096056622852,False
83,607,0.4012636986479801,7,0.4291909411910509,0.8640040444893832,False
84,617,0.4012636986479801,7,0.4291909411910509,0.8645096056622852,False
85,607,0.4012636986479801,7,0.4291909411910509,0.8640040444893832,False
86,529,0.32008676889779014,9,0.7365786123608251,0.8882709807886754,True
87,529,0.28008676889779016,9,0.7365786123608251,0.8902932254802831,False
88,539,0.28008676889779016,9,0.7365786123608251,0.8913043478260869,False
89,549,0.28008676889779016,9,0.7365786123608251,0.8902932254802831,False
90,539,0.28008676889779016,9,0.7365786123608251,0.8913043478260869,False
91,549,0.28008676889779016,9,0.7365786123608251,0.8902932254802831,False
92,539,0.28008676889779016,9,0.7365786123608251,0.8913043478260869,False
93,549,0.28008676889779016,9,0.7365786123608251,0.8902932254802831,False
94,539,0.28008676889779016,9,0.7365786123608251,0.8913043478260869,False
95,549,0.28008676889779016,9,0.7365786123608251,0.8902932254802831,False
96,539,0.28008676889779016,9,0.7365786123608251,0.8913043478260869,False
97,898,0.3355744654301518,9,0.3763710254502808,0.8604651162790697,True
98,898,0.3355744654301518,10,0.3763710254502808,0.8629929221435794,False
99,898,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
100,888,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
101,898,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
102,888,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
103,898,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
104,888,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
105,898,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
106,888,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
107,898,0.2955744654301518,10,0.3763710254502808,0.8634984833164813,False
108,723,0.2330224755814982,7,0.7952377770220289,0.8867542972699697,True
109,723,0.19302247558149818,7,0.7952377770220289,0.8892821031344793,False
110,723,0.15302247558149817,7,0.7952377770220289,0.890798786653185,False
111,723,0.15302247558149817,7,0.7452377770220289,0.890798786653185,False
112,713,0.15302247558149817,7,0.7452377770220289,0.8913043478260869,False
113,723,0.15302247558149817,7,0.7452377770220289,0.890798786653185,False
114,713,0.15302247558149817,7,0.7452377770220289,0.8913043478260869,False
115,723,0.15302247558149817,7,0.7452377770220289,0.890798786653185,False
116,713,0.15302247558149817,7,0.7452377770220289,0.8913043478260869,False
117,723,0.15302247558149817,7,0.7452377770220289,0.890798786653185,False
118,713,0.15302247558149817,7,0.7452377770220289,0.8913043478260869,False
119,434,0.024191820376609052,7,0.6201837313803696,0.8892821031344793,True
120,434,0.024191820376609052,8,0.6201837313803696,0.8933265925176946,False
121,434,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
122,444,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
123,454,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
124,464,0.024191820376609052,8,0.6701837313803697,0.8943377148634984,False
125,454,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
126,464,0.024191820376609052,8,0.6701837313803697,0.8943377148634984,False
127,454,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
128,464,0.024191820376609052,8,0.6701837313803697,0.8943377148634984,False
129,454,0.024191820376609052,8,0.6701837313803697,0.8938321536905965,False
130,475,0.1295432880155501,5,0.5673047274064946,0.8791708796764408,True
131,475,0.1295432880155501,6,0.5673047274064946,0.8852376137512639,False
132,475,0.1295432880155501,6,0.6173047274064947,0.8852376137512639,False
133,475,0.1295432880155501,7,0.6173047274064947,0.8882709807886754,False
134,475,0.08954328801555009,7,0.6173047274064947,0.8902932254802831,False
135,485,0.08954328801555009,7,0.6173047274064947,0.8913043478260869,False
136,495,0.08954328801555009,7,0.6173047274064947,0.8918099089989889,False
