,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
43,535,0.028412341663786776,7,0.5719277564770856,0.8953488372093024,False
44,545,0.028412341663786776,7,0.5719277564770856,0.8943377148634984,False
45,899,0.3004104415438058,7,0.29348189168689265,0.845803842264914,True
46,899,0.3004104415438058,8,0.29348189168689265,0.8488372093023255,False
47,899,0.3004104415438058,8,0.34348189168689264,0.8564206268958544,False
48,899,0.3004104415438058,8,0.3934818916868926,0.8614762386248737,False
49,899,0.2604104415438058,8,0.3934818916868926,0.8705763397371082,False
50,899,0.2604104415438058,9,0.3934818916868926,0.8695652173913043,False
51,899,0.2604104415438058,9,0.4434818916868926,0.8736097067745198,False
52,909,0.2604104415438058,9,0.4434818916868926,0.8756319514661274,False
53,919,0.2604104415438058,9,0.4434818916868926,0.8746208291203236,False
54,909,0.2604104415438058,9,0.4434818916868926,0.8756319514661274,False
55,919,0.2604104415438058,9,0.4434818916868926,0.8746208291203236,False
56,909,0.2604104415438058,9,0.4434818916868926,0.8756319514661274,False
57,919,0.2604104415438058,9,0.4434818916868926,0.8746208291203236,False
58,909,0.2604104415438058,9,0.4434818916868926,0.8756319514661274,False
59,919,0.2604104415438058,9,0.4434818916868926,0.8746208291203236,False
60,909,0.2604104415438058,9,0.4434818916868926,0.8756319514661274,False
61,934,0.457054425902389,4,0.4184932582494678,0.8523761375126391,True
62,934,0.457054425902389,4,0.4684932582494678,0.8614762386248737,False
63,924,0.457054425902389,4,0.4684932582494678,0.8629929221435794,False
64,914,0.457054425902389,4,0.4684932582494678,0.8629929221435794,False
65,904,0.457054425902389,4,0.4684932582494678,0.8665318503538928,False
66,894,0.457054425902389,4,0.4684932582494678,0.8645096056622852,False
67,904,0.457054425902389,4,0.4684932582494678,0.8665318503538928,False
68,894,0.457054425902389,4,0.4684932582494678,0.8645096056622852,False
69,904,0.457054425902389,4,0.4684932582494678,0.8665318503538928,False
70,894,0.457054425902389,4,0.4684932582494678,0.8645096056622852,False
71,904,0.457054425902389,4,0.4684932582494678,0.8665318503538928,False
72,894,0.457054425902389,4,0.4684932582494678,0.8645096056622852,False
73,685,0.29921652513050867,8,0.6234752463132234,0.878159757330637,True
74,685,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
75,695,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
76,685,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
77,695,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
78,685,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
79,695,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
80,685,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
81,695,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
82,685,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
83,695,0.2592165251305087,8,0.6234752463132234,0.8816986855409504,False
84,295,0.24632940867583647,9,0.6750301895730862,0.8852376137512639,True
85,305,0.24632940867583647,9,0.6750301895730862,0.8857431749241659,False
86,295,0.24632940867583647,9,0.6750301895730862,0.8852376137512639,False
87,305,0.24632940867583647,9,0.6750301895730862,0.8857431749241659,False
88,295,0.24632940867583647,9,0.6750301895730862,0.8852376137512639,False
89,305,0.24632940867583647,9,0.6750301895730862,0.8857431749241659,False
90,295,0.24632940867583647,9,0.6750301895730862,0.8852376137512639,False
91,305,0.24632940867583647,9,0.6750301895730862,0.8857431749241659,False
92,295,0.24632940867583647,9,0.6750301895730862,0.8852376137512639,False
